data,hora,taxa
2024/12/27,17:42:04,11.715575001799593
2024/12/27,17:42:05,12.112684424058433
2024/12/27,17:42:06,12.190667986824112
2024/12/27,17:42:07,12.127383360979323
2024/12/27,17:42:08,11.650908631637014
2024/12/27,17:42:09,11.203550260205736
2024/12/27,17:42:10,11.297436145659555
2024/12/27,17:42:11,11.606537852768481
2024/12/27,17:42:12,11.662780749866531
2024/12/27,17:42:13,11.382562800024886
2024/12/27,17:49:55,11.929885119944428
2024/12/27,17:49:56,11.713920723625465
2024/12/27,17:49:57,11.35140190802102
2024/12/27,17:49:58,11.685241323881314
2024/12/27,17:49:59,11.70151755696625
2024/12/27,17:50:00,11.201890587514127
2024/12/27,17:50:01,11.864235163424402
2024/12/27,17:50:02,11.258763962340925
2024/12/27,17:50:03,11.677491409312095
2024/12/27,17:50:04,11.304788065656641
